AccidentKey_FromNDOR,AccidentYear,AccidentDate,PedestrianOrPedalcyclist,Latitude,Longitude,AccidentSeverity_CodeFromNDOR,TotalFatalities,TotalInjuries,Time,AlcoholInvolved,WeatherConditions,Douglas_Sarpy_LandUseCode,CountyName,CityName,Census_CityPopulation2000,Census_CityPopulation2010,Census_STATEFP10,Census_PLACEFP10,Census_PLACENS10
208027302,2008,3/7/08 0:00,Pedestrian,41.259338,-95.962896,4,0,1,1645,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208029426,2008,3/20/08 0:00,Pedestrian,41.2941319999999,-96.022998,4,0,1,757,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208030573,2008,4/1/08 0:00,Cyclists,41.264757,-95.98308,4,0,1,1850,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208030705,2008,4/2/08 0:00,Pedestrian,41.2121989999999,-95.945706,2,0,1,1520,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208031537,2008,4/8/08 0:00,Pedestrian,41.21219,-95.962563,3,0,1,2000,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208032013,2008,4/10/08 0:00,Pedestrian,41.267941,-95.973061,2,0,1,635,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208032460,2008,4/14/08 0:00,Cyclists,41.2937739999999,-96.158168,3,0,1,1742,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208034286,2008,4/28/08 0:00,Pedestrian,41.2052979999999,-95.9418009999999,3,0,1,1610,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208034502,2008,8/4/08 0:00,Cyclists,41.259751,-95.956348,2,0,1,1803,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208034717,2008,5/12/08 0:00,Cyclists,41.285001,-96.0096939999999,4,0,1,1212,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208035624,2008,5/9/08 0:00,Pedestrian,41.3066439999999,-96.08144,2,0,1,2310,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208035675,2008,5/13/08 0:00,Pedestrian,41.2778089999999,-96.052553,4,0,1,730,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208036383,2008,5/17/08 0:00,Pedestrian,41.226396,-96.0438659999999,4,0,1,630,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208036864,2008,5/19/08 0:00,Pedestrian,41.2413409999999,-95.991961,4,0,1,1255,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208037441,2008,5/22/08 0:00,Pedestrian,41.2420729999999,-95.992805,3,0,1,1120,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208037445,2008,5/22/08 0:00,Pedestrian,41.2596339999999,-95.973369,4,0,1,815,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208037482,2008,5/22/08 0:00,Cyclists,41.2647649999999,-95.9807359999999,4,0,1,1630,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208037510,2008,5/25/08 0:00,Cyclists,41.205303,-96.1005899999999,4,0,1,1320,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208039925,2008,6/9/08 0:00,Cyclists,41.2859899999999,-96.0239119999999,4,0,1,1650,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208040041,2008,6/10/08 0:00,Pedestrian,41.247992,-96.100671,4,0,1,1155,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208040765,2008,6/14/08 0:00,Pedestrian,41.2045159999999,-95.954975,4,0,1,2250,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208040799,2008,6/14/08 0:00,Pedestrian,41.236939,-95.9333369999999,2,0,2,118,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208040905,2008,6/14/08 0:00,Pedestrian,41.252403,-95.9602679999999,3,0,1,1341,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208041075,2008,6/16/08 0:00,Pedestrian,41.212684,-95.9424649999999,3,0,1,2235,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208041318,2008,6/19/08 0:00,Pedestrian,41.288721,-96.0814349999999,4,0,1,1205,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208041653,2008,6/25/08 0:00,Pedestrian,41.234414,-96.0911119999999,3,0,1,1339,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208041972,2008,6/23/08 0:00,Cyclists,41.26691,-96.052474,3,0,1,1502,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208042673,2008,6/27/08 0:00,Pedestrian,41.259658,-95.988206,3,0,1,1850,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208042835,2008,6/28/08 0:00,Cyclists,41.2381829999999,-95.933338,3,0,1,1515,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208043048,2008,6/30/08 0:00,Cyclists,41.22581,-96.1195309999999,3,0,1,1714,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208043207,2008,7/1/08 0:00,Pedestrian,41.2179119999999,-95.946365,3,0,1,2350,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208043670,2008,7/8/08 0:00,Cyclists,41.19082,-96.138777,4,0,1,1528,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208044065,2008,7/3/08 0:00,Pedestrian,41.2179119999999,-95.946365,4,0,1,2230,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208045493,2008,7/21/08 0:00,Pedestrian,41.241508,-95.990243,2,0,2,1820,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208046334,2008,7/23/08 0:00,Cyclists,41.240814,-95.995208,2,0,1,1347,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208046612,2008,7/25/08 0:00,Cyclists,41.2995969999999,-95.9518939999999,3,0,1,720,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208047215,2008,7/29/08 0:00,Cyclists,41.205165,-96.115662,4,0,1,1412,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208051281,2008,8/28/08 0:00,Cyclists,41.259678,-96.04206,2,0,1,1720,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208051632,2008,8/31/08 0:00,Pedestrian,41.272204,-95.98398,4,0,1,30,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209000332,2008,9/3/08 0:00,Cyclists,41.2850269999999,-96.0525339999999,2,0,1,1456,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209001716,2008,9/8/08 0:00,Pedestrian,41.190831,-96.138334,2,0,1,1753,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209001839,2008,9/8/08 0:00,Pedestrian,41.2169889999999,-95.947068,3,0,1,1330,Y,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209002526,2009,1/20/09 0:00,Cyclists,41.190859,-96.0429469999999,3,0,1,1618,N,Clear,COM,Douglas,Ralston,6271,5943,31,40605,2396309
209003210,2008,9/28/08 0:00,Cyclists,41.2378679999999,-96.0047509999999,4,0,1,1645,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209003958,2008,9/27/08 0:00,Cyclists,41.2596199999999,-95.9691839999999,2,0,1,1710,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209004247,2008,9/29/08 0:00,Cyclists,41.21219,-95.962563,4,0,1,1914,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209004632,2008,10/7/08 0:00,Pedestrian,41.259658,-95.988206,4,0,1,635,N,Unknown,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209005148,2008,10/8/08 0:00,Pedestrian,41.2340829999999,-96.11459,3,0,1,1359,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209005375,2008,10/9/08 0:00,Pedestrian,41.227922,-95.9758559999999,2,0,1,1605,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209005431,2008,10/13/08 0:00,Cyclists,41.2053549999999,-96.1581709999999,4,0,1,745,N,Rain,COM,Douglas,,,,,,
209005883,2008,10/6/08 0:00,Cyclists,41.2986659999999,-95.9565719999999,4,0,1,1325,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209006097,2008,10/10/08 0:00,Pedestrian,41.2679359999999,-95.9730459999999,4,0,1,1330,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209010156,2008,11/9/08 0:00,Pedestrian,41.217503,-95.947067,2,0,1,505,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209010168,2008,11/9/08 0:00,Pedestrian,41.271354,-95.9833469999999,3,0,1,1613,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209010180,2008,11/3/08 0:00,Pedestrian,41.2052359999999,-95.947084,2,0,1,128,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209014497,2008,12/10/08 0:00,Pedestrian,41.2721319999999,-95.972925,3,0,1,710,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209014634,2008,12/13/08 0:00,Pedestrian,41.259658,-95.988206,4,0,1,2341,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209015575,2008,10/31/08 0:00,Pedestrian,41.213895,-95.9906799999999,4,0,1,720,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209017397,2008,12/26/08 0:00,Pedestrian,41.285021,-96.0237819999999,2,0,1,2024,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209017426,2008,12/26/08 0:00,Pedestrian,41.2381829999999,-95.933338,3,0,1,1932,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209018336,2008,12/29/08 0:00,Pedestrian,41.259262,-96.0239229999999,3,0,1,1835,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209018671,2008,12/30/08 0:00,Pedestrian,41.2577089999999,-95.961122,4,0,1,1548,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209020493,2009,1/9/09 0:00,Pedestrian,41.227001,-95.9749209999999,4,0,1,1518,N,"Sleet, hail, freezing rain/drizzle",COM,Douglas,Omaha,408735,408958,31,37000,2396064
209020503,2009,1/8/09 0:00,Pedestrian,41.19089,-95.967461,4,0,1,1450,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209021581,2009,4/21/09 0:00,Pedestrian,41.2522179999999,-96.0239559999999,4,0,1,1005,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209022639,2009,1/17/09 0:00,Pedestrian,41.26729,-95.98151,4,0,1,1955,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209025004,2009,2/9/09 0:00,Pedestrian,41.3354199999999,-95.9601059999999,3,0,1,2155,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209026031,2009,2/5/09 0:00,Cyclists,41.3029319999999,-95.956536,3,0,1,1535,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209026726,2009,2/12/09 0:00,Pedestrian,41.277757,-96.013912,3,0,1,1139,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209026751,2009,2/12/09 0:00,Cyclists,41.234259,-96.047212,4,0,1,1720,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209027931,2009,2/21/09 0:00,Pedestrian,41.216092,-95.947067,4,0,1,1613,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209028115,2009,2/26/09 0:00,Cyclists,41.2722169999999,-95.983529,2,0,1,1909,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209029026,2009,3/6/09 0:00,Cyclists,41.3029319999999,-95.956536,4,0,1,1553,N,Not stated,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209029658,2009,3/13/09 0:00,Pedestrian,41.2053269999999,-96.0858499999999,4,0,1,1546,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209030652,2009,3/5/09 0:00,Pedestrian,41.2849689999999,-96.0049329999999,3,0,1,1550,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209033460,2009,4/8/09 0:00,Pedestrian,41.218507,-95.947063,3,0,1,2110,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209034028,2009,4/9/09 0:00,Pedestrian,41.267961,-95.947044,2,0,1,250,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209035940,2009,4/20/09 0:00,Pedestrian,41.259582,-96.0243449999999,2,0,1,940,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209036394,2009,4/24/09 0:00,Cyclists,41.2630029999999,-96.0238939999999,4,0,1,1837,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209036546,2009,4/30/09 0:00,Pedestrian,41.2293999999999,-95.946701,2,0,1,1621,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209037298,2009,5/7/09 0:00,Pedestrian,41.2342409999999,-95.9377549999999,3,0,1,2055,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209037303,2009,5/7/09 0:00,Cyclists,41.272727,-95.974967,3,0,1,1704,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209037748,2009,5/9/09 0:00,Cyclists,41.2336889999999,-95.9392689999999,3,0,1,1625,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209037947,2009,5/14/09 0:00,Cyclists,41.261228,-95.980484,3,0,1,2499,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209039281,2009,5/30/09 0:00,Pedestrian,41.157425,-95.9351819999999,3,0,1,1830,N,Clear,COM,Sarpy,Bellevue,44373,50137,31,3950,2394120
209039570,2009,5/20/09 0:00,Cyclists,41.299573,-95.9568979999999,3,0,1,1952,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209039655,2009,5/23/09 0:00,Cyclists,41.248638,-96.1006739999999,3,0,1,1521,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209040200,2009,5/20/09 0:00,Pedestrian,41.17259,-96.0395869999999,3,0,1,1534,N,Clear,COM,Sarpy,Papillion,18618,18894,31,38295,2396139
209040951,2009,6/1/09 0:00,Pedestrian,41.211272,-95.9885359999999,3,0,1,2055,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209041439,2009,6/3/09 0:00,Cyclists,41.2524009999999,-95.960761,3,0,1,650,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209041628,2009,6/3/09 0:00,Cyclists,41.2523929999999,-95.970498,4,0,1,1745,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209043009,2009,6/18/09 0:00,Pedestrian,41.252647,-95.966177,4,0,1,1135,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209043660,2009,6/20/09 0:00,Pedestrian,41.234963,-95.9333419999999,3,0,1,2305,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209043731,2009,6/21/09 0:00,Pedestrian,41.317582,-96.003376,2,0,1,1803,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209044373,2009,6/24/09 0:00,Pedestrian,41.248766,-96.020336,2,0,1,2034,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209045760,2009,7/14/09 0:00,Cyclists,41.2378679999999,-96.0047509999999,3,0,1,2145,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209047516,2009,7/26/09 0:00,Pedestrian,41.260286,-95.98048,3,0,1,1750,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209047567,2009,7/26/09 0:00,Pedestrian,41.2053269999999,-96.0858499999999,3,0,1,1403,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209047725,2009,7/27/09 0:00,Pedestrian,41.212839,-95.9421449999999,3,0,1,712,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209048045,2009,7/21/09 0:00,Cyclists,41.3066779999999,-96.073789,4,0,1,1800,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209048138,2009,7/21/09 0:00,Pedestrian,41.2630419999999,-95.9801319999999,3,0,1,2200,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209050469,2009,8/4/09 0:00,Cyclists,41.2647649999999,-95.9807359999999,4,0,1,925,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209051112,2009,8/15/09 0:00,Pedestrian,41.216092,-95.947067,3,0,2,16,Y,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209051170,2009,8/14/09 0:00,Pedestrian,41.3276189999999,-95.957901,2,0,2,1318,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209053736,2009,8/27/09 0:00,Cyclists,41.258944,-95.9733669999999,3,0,1,1500,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209053778,2009,8/27/09 0:00,Cyclists,41.2124999999999,-95.983795,2,0,1,1628,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209054017,2009,9/9/09 0:00,Pedestrian,41.248584,-96.138647,3,0,1,745,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209054878,2009,9/6/09 0:00,Cyclists,41.306787,-96.0525609999999,4,0,1,1415,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209055525,2009,9/9/09 0:00,Pedestrian,41.2342689999999,-96.043497,3,0,1,1607,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209055776,2009,9/15/09 0:00,Cyclists,41.272139,-95.973388,3,0,1,1210,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209057640,2009,9/22/09 0:00,Cyclists,41.2523869999999,-95.9690559999999,4,0,1,710,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
209059824,2009,10/3/09 0:00,Cyclists,41.240814,-95.995208,4,0,2,1826,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210003701,2009,11/12/09 0:00,Cyclists,41.232208,-96.100728,4,0,1,5,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210003770,2009,11/13/09 0:00,Pedestrian,41.2815259999999,-95.9470429999999,4,0,1,1600,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210004006,2009,11/1/09 0:00,Pedestrian,41.291606,-95.956574,2,0,1,1935,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210004918,2009,11/4/09 0:00,Pedestrian,41.2121909999999,-95.94858,2,0,1,938,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210005029,2009,11/4/09 0:00,Cyclists,41.2054509999999,-95.963419,3,0,1,1415,N,Unknown,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210005817,2009,11/27/09 0:00,Pedestrian,41.226995,-95.9906289999999,4,0,1,1236,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210007584,2009,11/18/09 0:00,Pedestrian,41.164732,-96.042984,4,0,1,1539,N,Cloudy,COM,Sarpy,Papillion,18618,18894,31,38295,2396139
210014586,2010,1/12/10 0:00,Pedestrian,41.217066,-95.9904789999999,2,0,1,1750,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210015500,2010,1/30/10 0:00,Cyclists,41.205385,-95.9694099999999,1,1,0,945,Y,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210018565,2010,1/27/10 0:00,Pedestrian,41.270083,-95.9828959999999,4,0,1,754,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210021680,2010,2/15/10 0:00,Pedestrian,41.27194,-95.982495,4,0,1,1715,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210022589,2010,2/10/10 0:00,Pedestrian,41.2596339999999,-95.9733209999999,4,0,2,1959,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210026756,2010,6/9/10 0:00,Pedestrian,41.1762469999999,-96.0623389999999,3,0,2,1725,Y,Clear,COM,Sarpy,La Vista,11690,15758,31,26385,2395575
210026908,2010,3/26/10 0:00,Pedestrian,41.284958,-96.001506,3,0,1,1750,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210027441,2010,3/23/10 0:00,Pedestrian,41.2270749999999,-96.0239239999999,4,0,1,1145,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210027451,2010,6/14/10 0:00,Pedestrian,41.1802629999999,-96.0430089999999,3,0,1,638,N,Rain,COM,Sarpy,La Vista,11690,15758,31,26385,2395575
210027670,2010,3/30/10 0:00,Cyclists,41.2596339999999,-95.9733209999999,3,0,1,1101,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210031331,2010,4/23/10 0:00,Pedestrian,41.234295,-96.2199609999999,4,0,1,845,N,Rain,COM,Douglas,,,,,,
210032007,2010,5/11/10 0:00,Pedestrian,41.2069219999999,-95.947304,4,0,1,1638,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210032847,2010,5/13/10 0:00,Cyclists,41.2146919999999,-95.9470709999999,3,0,1,2004,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210033084,2010,5/1/10 0:00,Pedestrian,41.258811,-95.957102,3,0,1,935,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210033792,2010,5/26/10 0:00,Cyclists,41.271988,-95.947049,3,0,1,2113,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210035207,2010,5/30/10 0:00,Cyclists,41.205238,-96.0429589999999,4,0,1,1419,N,Clear,COM,Douglas,Ralston,6271,5943,31,40605,2396309
210036735,2010,6/7/10 0:00,Cyclists,41.271498,-95.984109,3,0,1,1622,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210038322,2010,6/22/10 0:00,Pedestrian,41.259607,-96.0332729999999,2,0,1,2202,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210038618,2010,6/23/10 0:00,Cyclists,41.205184,-96.1122699999999,3,0,1,1537,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210038668,2010,6/28/10 0:00,Cyclists,41.2631629999999,-96.048083,3,0,1,1107,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210038708,2010,6/25/10 0:00,Cyclists,41.246693,-96.0239689999999,3,0,1,1550,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210038968,2010,6/25/10 0:00,Pedestrian,41.2323969999999,-95.9333369999999,3,0,1,1900,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210040085,2010,7/13/10 0:00,Cyclists,41.2941089999999,-96.119656,4,0,1,1510,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210040525,2010,7/15/10 0:00,Pedestrian,41.2341059999999,-96.1194339999999,3,0,1,1805,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210040894,2010,7/13/10 0:00,Cyclists,41.339339,-96.0298789999999,4,0,1,2209,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210041117,2010,7/9/10 0:00,Cyclists,41.255242,-96.023927,3,0,1,1425,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210042412,2010,7/22/10 0:00,Pedestrian,41.2595999999999,-96.027753,2,0,1,255,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210042785,2010,7/18/10 0:00,Pedestrian,41.2080399999999,-95.94708,4,0,2,210,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210043618,2010,7/20/10 0:00,Cyclists,41.241297,-95.9902419999999,3,0,1,1700,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210044523,2010,8/13/10 0:00,Cyclists,41.2523989999999,-95.9614179999999,3,0,1,2250,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210044945,2010,8/10/10 0:00,Pedestrian,41.289762,-96.0814469999999,4,0,1,2112,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210045136,2010,8/4/10 0:00,Pedestrian,41.2378799999999,-96.006842,3,0,1,1821,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210045766,2010,8/26/10 0:00,Pedestrian,41.2632199999999,-96.0518869999999,2,0,1,610,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210046528,2010,8/21/10 0:00,Cyclists,41.2700249999999,-95.94704,3,0,1,915,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
210047117,2010,8/24/10 0:00,Cyclists,41.252408,-95.9899419999999,3,0,1,30,N,Rain,COM,Douglas,Omaha,408735,408958,31,37000,2396064
